time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443399637	8.46292	0.243462	-3.04035	0	0	radar	0	8.46292	0.243462	8.6	0.25	-3.00029	0
1477010443449633	8.44517	0.251375	-3.03365	-1.52362e-07	-3.00646e-06	lidar	0.0184448	8.44818	0.251553	8.45	0.25	-3.00027	0
1477010443499690	8.46105	0.249288	-0.257408	-0.000241111	-0.00241409	radar	8.53247	8.56759	0.241943	8.45	0.25	0	0
1477010443549747	8.45161	0.251272	-0.256018	-0.000378271	-0.00252277	lidar	0.00199737	8.45582	0.253997	8.45	0.25	0	0
1477010443604698	8.36411	0.252332	-1.02233	-0.001798	-0.00876747	radar	14.8949	8.42544	0.254042	8.35	0.25	-1.81979	0
1477010443659650	8.28719	0.251549	-1.03595	-0.00226321	-0.00870298	lidar	0.145103	8.23962	0.24916	8.25	0.25	-1.81978	0
1477010443709653	8.08555	0.245877	-1.95196	0.00200816	0.00669883	radar	58.16	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994
1477010443759657	7.95319	0.227983	-1.97991	0.0086844	0.0244438	lidar	0.998464	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993
1477010443809660	7.78397	0.220162	-2.30098	0.0178836	0.0441597	radar	13.5812	7.61269	0.155818	7.7	0.15	-2.99982	0
1477010443859663	7.64367	0.206245	-2.32475	0.031641	0.0695037	lidar	0.718302	7.54016	0.159641	7.55	0.15	-2.99982	0
1477010443914714	7.53485	0.189665	-2.24497	0.0538516	0.105581	radar	1.57238	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239
1477010443969766	7.40056	0.144679	-2.25826	0.115384	0.204445	lidar	0.907204	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823
1477010444024741	7.24891	0.125867	-2.36441	0.117557	0.189203	radar	3.47	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507
1477010444079717	7.1112	0.058689	-2.38136	0.204027	0.302706	lidar	0.985869	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499
1477010444134693	7.00349	-0.0340597	-2.31092	0.333984	0.461218	radar	4.44121	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898
1477010444189670	6.88242	-0.137199	-2.3298	0.440636	0.566138	lidar	1.03479	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897
1477010444239651	6.77474	-0.215057	-2.34579	0.501622	0.605648	radar	0.661097	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075
1477010444289632	6.6721	-0.327085	-2.37228	0.596006	0.679318	lidar	1.18296	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075
1477010444339690	6.62392	-0.508839	-2.32888	0.808275	0.886785	radar	7.56554	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769
1477010444389748	6.5491	-0.608462	-2.33484	0.867837	0.902513	lidar	0.113422	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769
1477010444444769	6.50638	-0.799744	-2.34033	1.05321	1.05369	radar	5.37343	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498
1477010444499791	6.45061	-0.941357	-2.36146	1.13671	1.07707	lidar	0.694481	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494
1477010444554767	6.36311	-1.01153	-2.35551	1.10785	0.974371	radar	4.81181	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898
1477010444609744	6.30169	-1.14876	-2.38285	1.17145	0.981357	lidar	0.658112	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896
1477010444664705	6.36456	-1.41572	-2.43818	1.45559	1.24925	radar	35.0589	6.43125	-1.48148	6.3	-1.45	0.909739	-3.63894
1477010444719667	6.35621	-1.56586	-2.457	1.53391	1.25557	lidar	0.43658	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891
1477010444769692	6.31316	-1.64825	-2.41264	1.51676	1.15129	radar	7.48326	6.3228	-1.81431	6.3	-1.8	-0.999494	-2.9985
1477010444819718	6.29998	-1.79424	-2.4519	1.57653	1.14793	lidar	1.41821	6.24641	-1.95075	6.25	-1.95	-0.999489	-2.99847
1477010444869719	6.34129	-1.96961	-2.52751	1.70714	1.24264	radar	7.5322	6.31851	-2.10969	6.3	-2.1	0.999984	-2.99994
1477010444919720	6.35885	-2.11361	-2.55566	1.77046	1.2392	lidar	0.808328	6.34644	-2.23829	6.35	-2.25	0.999979	-2.99994
1477010444974743	6.35991	-2.23946	-2.52504	1.79386	1.17368	radar	3.8816	6.32593	-2.40018	6.35	-2.4	0	-2.72613
1477010445029767	6.38457	-2.39875	-2.56219	1.85208	1.16188	lidar	1.28271	6.34927	-2.55175	6.35	-2.55	0	-2.72611
1477010445084742	6.43183	-2.5522	-2.59918	1.92517	1.17478	radar	1.04233	6.43125	-2.71878	6.4	-2.7	0.909499	-2.72851
1477010445139717	6.47255	-2.7082	-2.63268	1.97845	1.15896	lidar	1.03781	6.43257	-2.84245	6.45	-2.85	0.909503	-2.72851
1477010445189758	6.49551	-2.82501	-2.59377	1.99539	1.09682	radar	4.09605	6.46536	-3.00452	6.45	-3	0	-2.99754
1477010445239799	6.52602	-2.97573	-2.63699	2.02588	1.06717	lidar	2.02477	6.44119	-3.14955	6.45	-3.15	0	-2.99754
1477010445294720	6.58473	-3.12254	-2.6642	2.07609	1.05808	radar	1.01072	6.52249	-3.32007	6.5	-3.3	0.910402	-2.7312
1477010445349641	6.63012	-3.28584	-2.70554	2.10457	1.02359	lidar	2.02451	6.5453	-3.45745	6.55	-3.45	0.910402	-2.7312
1477010445404670	6.71213	-3.43442	-2.75789	2.16495	1.03555	radar	1.83604	6.6358	-3.59197	6.65	-3.6	1.81722	-2.72583
1477010445459700	6.78372	-3.593	-2.79445	2.19912	1.00807	lidar	1.45774	6.76011	-3.75457	6.75	-3.75	1.81721	-2.72581
1477010445514767	6.85419	-3.72341	-2.769	2.22855	0.971057	radar	2.08265	6.83625	-3.92723	6.8	-3.9	0.907988	-2.72396
1477010445569835	6.92144	-3.88571	-2.80553	2.24684	0.93131	lidar	1.90717	6.85997	-4.05805	6.85	-4.05	0.907976	-2.72393
1477010445624820	6.99046	-4.01284	-2.77122	2.26776	0.890688	radar	2.4749	6.86943	-4.18507	6.9	-4.2	0.909334	-2.72801
1477010445679806	7.04935	-4.17768	-2.80211	2.27055	0.840484	lidar	2.3116	6.94332	-4.34473	6.95	-4.35	0.90933	-2.72799
1477010445734748	7.10225	-4.29122	-2.69933	2.27118	0.773879	radar	10.5585	7.05156	-4.49706	7	-4.45	0.910054	-1.8201
1477010445789690	7.15955	-4.4418	-2.71462	2.27277	0.730642	lidar	1.54983	7.04099	-4.55018	7.05	-4.55	0.910054	-1.8201
1477010445844738	7.23079	-4.56064	-2.67729	2.28799	0.698023	radar	1.88349	7.10252	-4.67934	7.1	-4.7	0.908302	-2.72489
1477010445899786	7.28134	-4.72067	-2.6953	2.27555	0.644367	lidar	2.28225	7.14735	-4.86125	7.15	-4.85	0.908297	-2.72489
1477010445954759	7.3852	-4.85672	-2.75578	2.30972	0.649618	radar	2.64732	7.3138	-5.05204	7.25	-5	1.81907	-2.72861
1477010446009732	7.43988	-5.01828	-2.77063	2.29364	0.595178	lidar	2.24426	7.30424	-5.15404	7.35	-5.15	1.81907	-2.72861
1477010446064786	7.51474	-5.1401	-2.74104	2.30282	0.56693	radar	1.51659	7.29446	-5.23429	7.4	-5.3	0.908194	-2.7246
1477010446119841	7.56911	-5.30568	-2.75737	2.28101	0.511064	lidar	2.24529	7.44737	-5.45308	7.45	-5.45	0.90819	-2.72457
1477010446174794	7.65643	-5.43076	-2.74825	2.29418	0.493175	radar	0.676491	7.63082	-5.61863	7.55	-5.55	1.81974	-1.81974
1477010446229748	7.72564	-5.57752	-2.75694	2.28666	0.456855	lidar	0.912546	7.64356	-5.66706	7.65	-5.65	1.81972	-1.81972
1477010446284703	7.80107	-5.6948	-2.72238	2.29209	0.432925	radar	1.35071	7.60376	-5.74774	7.7	-5.8	0.90983	-2.72951
1477010446339659	7.85596	-5.85025	-2.72967	2.26958	0.384598	lidar	1.58301	7.7342	-5.95374	7.75	-5.95	0.909826	-2.72948
1477010446389694	7.96965	-5.97708	-2.83442	2.30329	0.410993	radar	8.64206	7.82165	-6.06822	7.85	-6.1	1.9986	-2.9979
1477010446439730	8.0317	-6.12425	-2.8478	2.2844	0.369576	lidar	1.21638	7.95703	-6.24328	7.95	-6.25	1.99858	-2.99787
1477010446494754	8.1237	-6.24844	-2.82663	2.29183	0.353041	radar	1.13845	8.17338	-6.44684	8.05	-6.35	1.81738	-1.81739
1477010446549779	8.20619	-6.38893	-2.83329	2.28756	0.328208	lidar	0.399448	8.15891	-6.45335	8.15	-6.45	1.81737	-1.81737
1477010446604767	8.28686	-6.50597	-2.79859	2.29009	0.30945	radar	1.20242	8.08628	-6.51855	8.2	-6.6	0.909293	-2.72787
1477010446659755	8.35035	-6.65972	-2.80503	2.26703	0.267709	lidar	1.07575	8.25411	-6.74791	8.25	-6.75	0.909293	-2.72787
1477010446714702	8.43763	-6.78021	-2.79677	2.27312	0.258428	radar	0.382578	8.25648	-6.78122	8.35	-6.85	1.81994	-1.81993
1477010446769649	8.51257	-6.91776	-2.79788	2.26354	0.233818	lidar	0.388114	8.44494	-6.95805	8.45	-6.95	1.81993	-1.81993
1477010446819646	8.58483	-7.02507	-2.77364	2.26361	0.22007	radar	0.717986	8.39359	-7.01743	8.5	-7.1	1.00006	-3.00018
